gameID,homeTeam,awayTeam,winTeam,loseTeam,date
626,25,13,,,01/12/22
627,16,10,,,01/13/22
628,14,17,,,01/13/22
629,18,30,,,01/13/22
630,3,20,,,01/13/22
631,8,24,,,01/13/22
632,4,21,,,01/14/22
633,9,27,,,01/14/22
634,12,23,,,01/14/22
635,22,2,,,01/14/22
636,5,10,,,01/14/22
637,15,1,,,01/14/22
638,26,6,,,01/14/22
639,14,7,,,01/14/22
640,25,11,,,01/14/22
641,16,27,,,01/15/22
642,29,24,,,01/15/22
643,1,19,,,01/15/22
644,3,18,,,01/15/22
645,15,22,,,01/15/22
646,20,6,,,01/15/22
647,2,5,,,01/15/22
648,26,30,,,01/15/22
649,8,13,,,01/15/22
650,7,21,,,01/15/22
651,25,11,,,01/16/22
652,8,28,,,01/16/22
653,17,10,,,01/16/22
654,2,18,,,01/17/22
655,19,4,,,01/17/22
656,29,22,,,01/17/22
657,6,3,,,01/17/22
658,30,12,,,01/17/22
659,14,5,,,01/17/22
660,1,16,,,01/17/22
661,21,24,,,01/17/22
662,15,27,,,01/17/22
663,7,20,,,01/17/22
664,26,23,,,01/17/22
665,13,28,,,01/17/22
666,19,17,,,01/18/22
667,10,9,,,01/18/22
668,22,21,,,01/19/22
669,29,3,,,01/19/22
670,1,17,,,01/19/22
671,2,4,,,01/19/22
672,15,24,,,01/19/22
673,5,6,,,01/19/22
674,16,14,,,01/19/22
675,7,27,,,01/19/22
676,26,20,,,01/19/22
677,28,11,,,01/19/22
678,8,30,,,01/19/22
679,25,9,,,01/19/22
680,13,12,,,01/19/22
681,19,18,,,01/20/22
682,7,23,,,01/20/22
683,10,12,,,01/20/22
684,4,20,,,01/21/22
685,21,13,,,01/21/22
686,22,30,,,01/21/22
687,1,15,,,01/21/22
688,2,24,,,01/21/22
689,16,5,,,01/21/22
690,29,27,,,01/21/22
691,26,3,,,01/21/22
692,8,14,,,01/21/22
693,28,9,,,01/21/22
694,10,11,,,01/21/22
695,6,20,,,01/22/22
696,16,25,,,01/22/22
697,23,12,,,01/22/22
698,19,30,,,01/23/22
699,29,2,,,01/23/22
700,15,13,,,01/23/22
701,21,5,,,01/23/22
702,27,24,,,01/23/22
703,4,1,,,01/23/22
704,26,22,,,01/23/22
705,7,14,,,01/23/22
706,8,9,,,01/23/22
707,17,3,,,01/23/22
708,10,28,,,01/23/22
709,6,19,,,01/24/22
710,1,5,,,01/24/22
711,11,22,,,01/24/22
712,18,12,,,01/24/22
713,23,28,,,01/24/22
714,9,8,,,01/25/22
715,27,4,,,01/25/22
716,29,30,,,01/25/22
717,2,25,,,01/25/22
718,3,13,,,01/25/22
719,11,26,,,01/25/22
720,10,7,,,01/25/22
721,24,17,,,01/25/22
722,6,16,,,01/26/22
723,12,4,,,01/26/22
724,21,30,,,01/26/22
725,1,25,,,01/26/22
726,3,27,,,01/26/22
727,15,19,,,01/26/22
728,26,14,,,01/26/22
729,18,8,,,01/26/22
730,20,5,,,01/26/22
731,24,7,,,01/26/22
732,28,23,,,01/26/22
733,22,13,,,01/27/22
734,10,17,,,01/27/22
735,4,13,,,01/28/22
736,21,9,,,01/28/22
737,1,2,,,01/28/22
738,11,24,,,01/28/22
739,14,28,,,01/28/22
740,15,30,,,01/28/22
741,20,12,,,01/28/22
742,26,5,,,01/28/22
743,23,17,,,01/28/22
744,16,19,,,01/28/22
745,18,2,,,01/29/22
746,7,12,,,01/29/22
747,22,25,,,01/29/22
748,14,29,,,01/29/22
749,15,27,,,01/29/22
750,10,3,,,01/29/22
751,1,13,,,01/30/22
752,4,30,,,01/30/22
753,5,24,,,01/30/22
754,9,6,,,01/30/22
755,16,8,,,01/30/22
756,21,7,,,01/30/22
757,17,28,,,01/30/22
758,23,26,,,01/30/22
759,6,18,,,01/31/22
760,12,30,,,01/31/22
761,22,14,,,01/31/22
762,2,15,,,01/31/22
763,19,25,,,01/31/22
764,11,10,,,01/31/22
765,20,24,,,01/31/22
766,9,18,,,02/01/22
767,1,27,,,02/01/22
768,16,29,,,02/01/22
769,5,21,,,02/01/22
770,17,8,,,02/01/22
771,26,10,,,02/01/22
772,23,3,,,02/01/22
773,12,21,,,02/02/22
774,22,29,,,02/02/22
775,2,4,,,02/02/22
776,19,14,,,02/02/22
777,11,6,,,02/02/22
778,7,20,,,02/02/22
779,25,3,,,02/02/22
780,28,8,,,02/02/22
781,13,24,,,02/02/22
782,9,17,,,02/03/22
783,1,23,,,02/03/22
784,27,15,,,02/03/22
785,10,25,,,02/03/22
786,30,13,,,02/03/22
787,4,6,,,02/04/22
788,9,2,,,02/04/22
789,12,5,,,02/04/22
790,27,1,,,02/04/22
791,7,22,,,02/04/22
792,26,11,,,02/04/22
793,28,3,,,02/04/22
794,8,18,,,02/04/22
795,24,20,,,02/04/22
796,21,14,,,02/05/22
797,4,15,,,02/05/22
798,29,23,,,02/05/22
799,13,19,,,02/05/22
800,24,16,,,02/05/22
801,25,20,,,02/05/22
802,5,22,,,02/06/22
803,8,3,,,02/06/22
804,17,9,,,02/06/22
805,6,12,,,02/06/22
806,7,1,,,02/06/22
807,21,2,,,02/06/22
808,11,18,,,02/06/22
809,30,16,,,02/06/22
810,4,27,,,02/07/22
811,29,15,,,02/07/22
812,5,23,,,02/07/22
813,20,10,,,02/07/22
814,28,19,,,02/07/22
815,22,23,,,02/08/22
816,1,12,,,02/08/22
817,3,2,,,02/08/22
818,14,30,,,02/08/22
819,18,11,,,02/08/22
820,7,9,,,02/08/22
821,8,19,,,02/08/22
822,13,16,,,02/08/22
823,24,21,,,02/08/22
824,25,17,,,02/08/22
825,6,26,,,02/09/22
826,4,5,,,02/09/22
827,20,27,,,02/09/22
828,24,13,,,02/09/22
829,25,17,,,02/09/22
830,28,10,,,02/09/22
831,9,14,,,02/10/22
832,29,3,,,02/10/22
833,18,15,,,02/10/22
834,11,27,,,02/10/22
835,7,30,,,02/10/22
836,10,19,,,02/10/22
837,23,16,,,02/10/22
838,9,4,,,02/11/22
839,12,6,,,02/11/22
